"Time","SSE","SST","Rsqu","Value"
"2019-09-30 18:50:00",0.0150225583878387,0.999100253058195,0.984963912938811,4.2220981770256
"2019-09-30 18:55:00",0.0148693782074552,0.999193164532276,0.985118614963288,3.91115589960993
"2019-09-30 19:00:00",0.0153858878721565,0.998608142135763,0.984592667310673,3.80929254398636
"2019-09-30 19:05:00",0.0196200933462526,0.998427455705524,0.980349004593039,3.94230898661471
"2019-09-30 19:10:00",0.0470764153320961,0.998153982028793,0.952836520036306,3.79825896068083
"2019-09-30 19:15:00",0.0160573752262243,0.997917658117878,0.983909118056384,3.6010026210477
"2019-09-30 19:20:00",0.0143038792793409,0.997296528232118,0.985657345759844,3.83562614094261
"2019-09-30 19:25:00",0.0165574642914181,0.997465709915647,0.983400467678414,3.86458725077314
"2019-09-30 19:30:00",0.0148385037760419,0.997341101508265,0.985121936964593,3.88393932269841
"2019-09-30 19:35:00",0.0149986209339968,0.997491203957102,0.98496365594554,4.0212232052855
"2019-09-30 19:40:00",0.0151778274238065,0.997968591600884,0.984791277449464,3.92683300884678
"2019-09-30 19:45:00",0.0149719832288122,0.998249771033181,0.98500176642834,3.79051163577406
"2019-09-30 19:50:00",0.0174972550024158,0.99805373718741,0.98246862433307,3.85994735506295
"2019-09-30 19:55:00",0.0691122518636355,0.998429712987302,0.930779051379739,3.28764595625735
"2019-09-30 20:00:00",0.0162892954902922,0.998549329900208,0.983687039786086,3.80193972315508
"2019-09-30 20:05:00",0.0168343529070423,0.998305981908813,0.983137081003107,3.87382658398332
"2019-09-30 20:10:00",0.0158625677359844,0.998516505757312,0.984113865274612,4.02787020121019
"2019-09-30 20:15:00",0.0176470995794057,0.998710603821567,0.982330116940905,4.0986929493059
"2019-09-30 20:20:00",0.015938307273984,0.99818456675072,0.984032705168077,4.23464188099646
"2019-09-30 20:25:00",0.017397512585506,0.997987439004809,0.982567403250231,4.19413184765537
"2019-09-30 20:30:00",0.0170064416646106,0.998144911088155,0.982961951240055,4.0930504167213
"2019-09-30 20:35:00",0.0222548468065743,0.997861806654326,0.977697466063772,4.0142541140305
"2019-09-30 20:40:00",0.062636907866688,0.997469306415817,0.937204175142231,3.4956589099048
"2019-09-30 20:45:00",0.131285477006689,0.997432052506864,0.868376520809887,2.91828491354492
"2019-09-30 20:50:00",0.0164104048099665,0.997125464217838,0.983542286904849,4.38714124213183
"2019-09-30 20:55:00",0.0149722043918207,0.996918421604082,0.984981514969169,4.48843544197207
"2019-09-30 21:00:00",0.0145005041976159,0.996835611714354,0.985453464917171,4.51329369774635
"2019-09-30 21:05:00",0.0143883464151069,0.996923485092255,0.985567251017489,4.28222052115984
"2019-09-30 21:10:00",0.0142173767394141,0.996716806904922,0.985735791108446,4.41980946342957
"2019-09-30 21:15:00",0.0140108152167182,0.997039986213812,0.985947589454337,4.71912061816375
"2019-09-30 21:20:00",0.0139118689388917,0.996754418870437,0.98604283193983,4.41132394125224
"2019-09-30 21:25:00",0.0139167981301824,0.996763357936406,0.98603801191188,4.66063624826812
"2019-09-30 21:30:00",0.013873563287803,0.996488721694509,0.986077551119483,4.73122266521287
"2019-09-30 21:35:00",0.0138465800158261,0.996538895345758,0.986105329073963,4.56255832192357
"2019-09-30 21:40:00",0.0136864132988547,0.9960864272612,0.986259813481762,4.36585206833695
"2019-09-30 21:45:00",0.013663237757727,0.996336308670959,0.986286520285552,4.52374184465226
"2019-09-30 21:50:00",0.0136518128711021,0.996645680991313,0.986302240473742,4.63527140118376
"2019-09-30 21:55:00",0.0136152820322729,0.996849088782238,0.986341681819757,4.67361825832788
"2019-09-30 22:00:00",0.0136983929518995,0.997077483381485,0.986261455924726,4.81075932676301
"2019-09-30 22:05:00",0.0137149552399651,0.997819302828191,0.986255071232745,4.55765705328336
"2019-09-30 22:10:00",0.0137201541374832,0.997965900834436,0.986251880824774,4.40688072512418
"2019-09-30 22:15:00",0.0136081750166519,0.997599168953305,0.98635907542813,4.77742005185671
"2019-09-30 22:20:00",0.013683010548566,0.997522403896261,0.986283004276274,4.44393744785376
"2019-09-30 22:25:00",0.0136516204026244,0.997590442183709,0.986315405776401,4.62979960540039
"2019-09-30 22:30:00",0.0134951305219002,0.997265145327311,0.986467861044646,4.64466131187494
"2019-09-30 22:35:00",0.013641442435962,0.99712634543355,0.986319243796501,4.83449570092937
"2019-09-30 22:40:00",0.0134396235257439,0.997605748331121,0.986528121406451,4.8843415430672
"2019-09-30 22:45:00",0.0134205713111817,0.997710305304404,0.986548629156349,4.72969151650759
"2019-09-30 22:50:00",0.0133950606234938,0.998127886405136,0.986579815266221,4.60232305566542
"2019-09-30 22:55:00",0.0134958311947334,0.99840535186955,0.986482613329885,5.29470459379394
"2019-09-30 23:00:00",0.0134927310748051,0.998902099301701,0.986492438964502,4.84156451575318
"2019-09-30 23:05:00",0.0134371106215528,0.998819851653364,0.986547012857914,4.67535952562558
"2019-09-30 23:10:00",0.0134374716309792,0.999317370009057,0.986553349281963,4.43949312878724
"2019-09-30 23:15:00",0.0133039432847827,0.998992725825712,0.986682642484923,4.64857527987087
"2019-09-30 23:20:00",0.0134205055484604,0.999209526264323,0.986568877501964,4.62896017354054
"2019-09-30 23:25:00",0.0133027486989123,0.998974825127087,0.986683599662064,4.41209630531146
"2019-09-30 23:30:00",0.0132414261752315,0.998757884825504,0.986742105993441,4.3903799200829
"2019-09-30 23:35:00",0.0132260429686307,0.998669392184511,0.986756334907091,4.48495497976958
"2019-09-30 23:40:00",0.0132655613990479,0.998956060722311,0.986720575688328,4.13455394874037
